Nom,Prénom,Email,Téléphone,Groupe,Notes
Cohen,David,david@mail.com,0612345678,Full Invitation,Famille marié
Cohen,Rachel,rachel@mail.com,0612345679,Full Invitation,Famille marié
Levy,Sarah,sarah@mail.com,0623456789,Houppa + Soirée,Amis proches
Levy,Jonathan,jonathan@mail.com,0623456780,Houppa + Soirée,Amis proches
Martin,Paul,paul@mail.com,,Soirée uniquement,Collègues
Martin,Julie,julie@mail.com,,Soirée uniquement,Collègues
Benhamou,Marc,,0634567890,Full Invitation,Témoin
Dupont,Sophie,sophie@mail.com,0645678901,Henné uniquement,Amies mariée
Abitbol,Georges,georges@mail.com,0656789012,Cérémonie uniquement,Voisins
Abitbol,Micheline,micheline@mail.com,0656789013,Cérémonie uniquement,Voisins
